cv,model,sub
33.16666666666667,crp,0
4.296666666666667,crp,1
0.0,crp,2
15.070000000000004,crp,3
45.22,crp,5
6.303333333333333,crp,8
6.976666666666668,crp,9
5.32,crp,10
6.226666666666667,crp,13
47.443333333333335,crp,15
5.18,crp,18
18.57,crp,19
35.31666666666667,crp,21
8.966666666666667,crp,22
27.68666666666666,crp,23
2.4033333333333333,crp,25
7.206666666666666,crp,28
19.996666666666663,crp,29
3.706666666666666,crp,30
17.276666666666664,crp,31
4.569999999999999,crp,32
5.033333333333333,crp,33
15.136666666666665,crp,34
74.84,crp,37
3.6366666666666676,crp,39
6.0666666666666655,crp,40
19.223333333333336,crp,41
4.416666666666666,crp,44
13.043333333333331,crp,45
22.923333333333336,crp,46
15.710000000000003,crp,47
69.77000000000001,crp,48
4.1066666666666665,crp,50
24.403333333333332,crp,53
35.263333333333335,crp,54
3.363333333333334,crp,55
5.1899999999999995,crp,56
4.1899999999999995,crp,57
77.75999999999999,crp,58
5.319999999999999,crp,59
80.56666666666666,crp,64
127.18666666666665,crp,65
6.083333333333333,crp,69
11.97,crp,70
7.813333333333334,crp,71
6.363333333333334,crp,75
1.7833333333333332,crp,76
0.0,crp,77
40.04666666666667,crp,78
4.246666666666667,crp,80
7.763333333333333,crp,81
11.256666666666666,crp,82
9.276666666666667,crp,85
5.756666666666667,crp,89
7.043333333333334,crp,92
40.13666666666667,crp,94
5.286666666666666,crp,96
4.333333333333333,crp,97
81.27,crp,99
4.036666666666666,crp,100
0.0,crp,101
4.04,crp,104
3.54,crp,105
0.0,crp,106
33.3,crp,107
43.15,crp,108
49.33333333333333,crp,110
7.090000000000001,crp,112
3.2133333333333334,crp,113
23.549999999999997,crp,115
13.033333333333335,crp,116
12.629999999999999,crp,117
20.183333333333334,crp,119
12.26,crp,120
15.426666666666666,crp,121
8.756666666666666,crp,123
1.9700000000000002,crp,124
1.9066666666666667,crp,126
2.8533333333333335,crp,127
4.666666666666666,crp,128
7.546666666666667,crp,132
13.670000000000005,crp,134
26.8,crp,135
2.923333333333333,crp,136
13.84333333333333,crp,137
10.693333333333333,crp,138
41.38333333333333,crp,141
3.8633333333333324,crp,142
27.166666666666668,crp,143
5.386666666666668,crp,146
4.3999999999999995,crp,148
8.633333333333335,crp,151
4.466666666666667,crp,154
37.90666666666666,crp,158
4.356666666666667,crp,159
12.743333333333334,crp,161
8.006666666666666,crp,162
18.31,crp,163
10.966666666666669,crp,164
2.1666666666666665,crp,165
1.7766666666666666,crp,167
11.076666666666666,crp,169
7.493333333333334,crp,170
7.286666666666667,crp,173
4.5633333333333335,crp,175
33.403333333333336,crp,177
6.7,crp,182
6.373333333333333,crp,183
2.9466666666666663,crp,184
11.779999999999998,crp,188
4.07,crp,190
32.36666666666667,crp,192
30.483333333333338,crp,195
7.666666666666666,crp,196
59.746666666666655,td,0
19.973333333333333,td,1
0.0,td,2
7.256666666666666,td,3
16.330000000000002,td,5
19.3,td,8
11.406666666666668,td,9
5.299999999999999,td,10
14.366666666666665,td,13
53.65333333333333,td,15
6.2733333333333325,td,18
23.380000000000003,td,19
34.99999999999999,td,21
15.646666666666667,td,22
31.54,td,23
6.8966666666666665,td,25
19.52,td,28
18.55,td,29
11.533333333333335,td,30
20.493333333333332,td,31
13.26666666666667,td,32
16.609999999999996,td,33
31.65666666666666,td,34
60.209999999999994,td,37
22.09333333333333,td,39
5.4,td,40
25.14333333333333,td,41
22.186666666666667,td,44
23.39,td,45
69.45666666666666,td,46
24.87333333333333,td,47
51.81666666666666,td,48
12.626666666666669,td,50
26.21666666666666,td,53
59.88666666666667,td,54
11.366666666666665,td,55
14.643333333333334,td,56
15.920000000000002,td,57
59.31666666666668,td,58
12.013333333333332,td,59
145.2666666666667,td,64
103.46666666666667,td,65
6.626666666666667,td,69
18.96666666666667,td,70
10.036666666666667,td,71
9.646666666666667,td,75
13.070000000000002,td,76
0.0,td,77
67.85666666666665,td,78
8.52,td,80
9.39,td,81
