cv,model,sub
36.34333333333333,mvt,69
23.826666666666664,mvt,70
41.07333333333333,mvt,71
15.856666666666666,mvt,75
17.693333333333335,mvt,76
0.0,mvt,77
39.14666666666666,mvt,78
21.236666666666668,mvt,80
53.14333333333334,mvt,81
14.336666666666668,mvt,82
10.676666666666666,mvt,85
14.366666666666665,mvt,89
78.55333333333333,mvt,92
6.6,mvt,94
64.06,mvt,96
4.563333333333334,mvt,97
54.239999999999995,mvt,99
29.20333333333333,mvt,100
0.0,mvt,101
18.71333333333333,mvt,104
11.583333333333334,mvt,105
0.0,mvt,106
62.739999999999995,mvt,107
71.18333333333334,mvt,108
18.2,mvt,110
7.403333333333333,mvt,112
14.803333333333333,mvt,113
43.709999999999994,mvt,115
24.863333333333337,mvt,116
13.02,mvt,117
28.143333333333334,mvt,119
8.633333333333333,mvt,120
28.869999999999997,mvt,121
47.13333333333334,mvt,123
13.173333333333336,mvt,124
13.27,mvt,126
19.723333333333333,mvt,127
8.36,mvt,128
7.596666666666667,mvt,132
29.063333333333333,mvt,134
37.99666666666667,mvt,135
4.863333333333333,mvt,136
10.99,mvt,137
24.770000000000003,mvt,138
14.709999999999999,mvt,141
27.65,mvt,142
145.62666666666667,mvt,143
23.253333333333334,mvt,146
6.166666666666667,mvt,148
21.67666666666667,mvt,151
4.856666666666667,mvt,154
15.2,mvt,158
6.083333333333333,mvt,159
50.46,mvt,161
55.08,mvt,162
7.469999999999999,mvt,163
9.686666666666667,mvt,164
16.580000000000002,mvt,165
2.546666666666667,mvt,167
107.83333333333333,mvt,169
16.773333333333333,mvt,170
21.276666666666664,mvt,173
141.4966666666667,mvt,175
4.2,mvt,177
10.503333333333334,mvt,182
20.94666666666667,mvt,183
35.81666666666667,mvt,184
8.43,mvt,188
10.49,mvt,190
15.27,mvt,192
77.51666666666667,mvt,195
11.11,mvt,196
