trial_type,time_elapsed,rt,key_press,condition,next_reward,responses,planet,curr_prac_trial,n_prac_rounds,button_pressed,alien,aliens,reward_received,decay_rate_actual,decay_rate_exp,time_in_block,block_num,prt,last_trial_on_planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,93939,,,,,[],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,95441,null,null,,23,,1,,,,,,103,0.222272347,0.223300971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,95484,40.69999999,65,,23,,1,,,,,,,,,9064,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,97450,,,,,[],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,99029,null,null,,5,,1,,,,,,23,0.217724985,0.217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,99033,3.899999976,65,,5,,1,,,,,,,,,12613,1,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,101033,,,,,[],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,102540,null,null,,1,,1,,,,,,5,0.189141515,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,103005,463.7,76,,1,,1,,,,,,,,,16585,1,2,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,112542,,,,,[],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,117548,null,null,,,,,,,,26,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,118055,null,null,,103,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,120060,,,,,[],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,121568,null,null,,19,,2,,,,,,103,0.185892222,0.184466019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,121646,75.80000001,65,,19,,2,,,,,,,,,35225,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,123575,,,,,[],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,125081,null,null,,4,,2,,,,,,19,0.230059104,0.210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,125430,347.1,76,,4,,2,,,,,,,,,39009,1,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,135083,,,,,[],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,140090,null,null,,,,,,,,84,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,140596,null,null,,104,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,142602,,,,,[],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,144186,null,null,,47,,3,,,,,,104,0.451037069,0.451923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,144383,195.9,65,,47,,3,,,,,,,,,57963,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,146192,,,,,[],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,147702,null,null,,23,,3,,,,,,47,0.491062451,0.489361702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,147799,96.19999999,65,,23,,3,,,,,,,,,61379,1,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,149711,,,,,[],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,151216,null,null,,11,,3,,,,,,23,0.497188783,0.47826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,151398,181.1,65,,11,,3,,,,,,,,,64978,1,2,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,153222,,,,,[],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,154728,null,null,,5,,3,,,,,,11,0.499887772,0.454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,155047,317.7,76,,5,,3,,,,,,,,,68627,1,3,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,164728,,,,,[],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,169730,null,null,,,,,,,,92,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,170245,null,null,,101,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,172250,,,,,[],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,173758,null,null,,51,,4,,,,,,101,0.50938906,0.504950495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,173879,120.3,65,,51,,4,,,,,,,,,87458,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,175762,,,,,[],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,177268,null,null,,24,,4,,,,,,51,0.473836483,0.470588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,177327,58.19999999,65,,24,,4,,,,,,,,,90907,1,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,179274,,,,,[],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,180775,null,null,,13,,4,,,,,,24,0.540280893,0.541666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,182297,1520.6,76,,13,,4,,,,,,,,,95877,1,2,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,190782,,,,,[],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,195790,null,null,,,,,,,,36,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,196297,null,null,,94,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,198302,,,,,[],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,199807,null,null,,45,,5,,,,,,94,0.474240224,0.478723404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,199884,74.5,65,,45,,5,,,,,,,,,113463,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,201813,,,,,[],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,203320,null,null,,19,,5,,,,,,45,0.428052773,0.422222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,203457,135.2,76,,19,,5,,,,,,,,,117036,1,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,213327,,,,,[],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,218334,null,null,,,,,,,,120,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,218846,null,null,,100,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,220851,,,,,[],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,222356,null,null,,83,,6,,,,,,100,0.831295237,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,223376,1019,65,,83,,6,,,,,,,,,136956,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,224365,,,,,[],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,225866,null,null,,68,,6,,,,,,83,0.816687768,0.819277108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,225919,50.60000002,65,,68,,6,,,,,,,,,139499,1,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,227873,,,,,[],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,229391,null,null,,55,,6,,,,,,68,0.80772327,0.808823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,229394,1.900000036,65,,55,,6,,,,,,,,,142974,1,2,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,231399,,,,,[],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,232905,null,null,,43,,6,,,,,,55,0.782837308,0.781818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,233089,182.3,76,,43,,6,,,,,,,,,146668,1,3,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,242904,,,,,[],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,247913,null,null,,,,,,,,28,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,248420,null,null,,103,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,250428,,,,,[],7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,251933,null,null,,86,,7,,,,,,103,0.832143208,0.834951456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,252130,195.4,65,,86,,7,,,,,,,,,165709,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,253939,,,,,[],7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,255446,null,null,,67,,7,,,,,,86,0.780556456,0.779069767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,255471,24.09999996,65,,67,,7,,,,,,,,,169051,1,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,257455,,,,,[],7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,259071,null,null,,57,,7,,,,,,67,0.850343903,0.850746269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,259074,2.199999988,65,,57,,7,,,,,,,,,172654,1,2,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,261075,,,,,[],7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,262582,null,null,,46,,7,,,,,,57,0.809889064,0.807017544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,262777,193.8,76,,46,,7,,,,,,,,,176357,1,3,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,272584,,,,,[],7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,277591,null,null,,,,,,,,32,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,278098,null,null,,94,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,280102,,,,,[],8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,281608,null,null,,72,,8,,,,,,94,0.769514635,0.765957447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,282234,624.7,76,,72,,8,,,,,,,,,195813,1,0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,291609,,,,,[],8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,296618,null,null,,,,,,,,115,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,297124,null,null,,106,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,299347,,,,,[],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,300856,null,null,,18,,9,,,,,,106,0.173904968,0.169811321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,300918,60.60000002,65,,18,,9,,,,,,,,,214498,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,302866,,,,,[],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,304372,null,null,,4,,9,,,,,,18,0.195029283,0.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,304839,464.9,76,,4,,9,,,,,,,,,218420,1,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,314376,,,,,[],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,319482,null,null,,,,,,,,74,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,319987,null,null,,103,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,321991,,,,,[],10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,323496,null,null,,20,,10,,,,,,103,0.197779851,0.194174757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,323604,107.2,65,,20,,10,,,,,,,,,237183,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,325499,,,,,[],10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,327004,null,null,,4,,10,,,,,,20,0.19171321,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,327440,434.6,76,,4,,10,,,,,,,,,241020,1,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,337004,,,,,[],10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,342011,null,null,,,,,,,,57,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,342513,null,null,,100,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,344517,,,,,[],11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,346026,null,null,,18,,11,,,,,,100,0.181096503,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,346100,72.69999999,65,,18,,11,,,,,,,,,259679,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,348031,,,,,[],11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,349537,null,null,,3,,11,,,,,,18,0.177700675,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,351538,null,null,,3,,11,,,,,,,,,265118,1,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_out,353547,null,null,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,354751,1203.5,76,,3,,11,,,,,,,,,268331,1,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,363552,,,,,[],11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,368559,null,null,,,,,,,,116,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,369070,null,null,,101,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,371076,,,,,[],12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,372585,null,null,,20,,12,,,,,,101,0.199125876,0.198019802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,372742,155.8,65,,20,,12,,,,,,,,,286321,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,374589,,,,,[],12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,376095,null,null,,3,,12,,,,,,20,0.151757055,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,376253,156.9,76,,3,,12,,,,,,,,,289833,1,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,386095,,,,,[],12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,391104,null,null,,,,,,,,52,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,391611,null,null,,92,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,393615,,,,,[],13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,395120,null,null,,19,,13,,,,,,92,0.20566947,0.206521739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,395197,75.89999998,76,,19,,13,,,,,,,,,308777,1,0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,405125,,,,,[],13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,410133,null,null,,,,,,,,110,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,410638,null,null,,92,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,412642,,,,,[],14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,414148,null,null,,81,,14,,,,,,92,0.877414811,0.880434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,414320,170.3,65,,81,,14,,,,,,,,,327899,1,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig,416154,,,,,[],14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,417662,null,null,,67,,14,,,,,,81,0.825444943,0.827160494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision,417999,336.4,76,,67,,14,,,,,,,,,331579,1,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travel,427663,,,,,[],14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alien_welcome,432673,null,null,,,,,,,,54,31,76,15,9,117,40,100,106,24,61,51,103,66,114,67,93,5,50,4,25,85,64,75,101,29,39,41,68,78,70,105,90,107,82,34,91,8,58,56,35,73,59,16,83,22,13,23
land,433181,null,null,,104,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
