,sub_num,true_planet,fold_num,dataset,galaxy,prt
0,0,27,9.0,train,2,8
0,0,27,10.0,train,2,8
0,0,2,3.0,test,1,3
0,0,2,1.0,train,1,3
0,0,2,2.0,train,1,3
0,0,2,4.0,train,1,3
0,0,2,5.0,train,1,3
0,0,2,6.0,train,1,3
0,0,2,7.0,train,1,3
0,0,2,8.0,train,1,3
0,0,2,9.0,train,1,3
0,0,2,10.0,train,1,3
0,0,95,4.0,test,2,1
0,0,95,1.0,train,2,1
0,0,95,2.0,train,2,1
0,0,95,3.0,train,2,1
0,0,95,5.0,train,2,1
0,0,95,6.0,train,2,1
0,0,95,7.0,train,2,1
0,0,95,8.0,train,2,1
0,0,95,9.0,train,2,1
0,0,95,10.0,train,2,1
0,0,69,4.0,test,0,2
0,0,69,1.0,train,0,2
0,0,69,2.0,train,0,2
0,0,69,3.0,train,0,2
0,0,69,5.0,train,0,2
0,0,69,6.0,train,0,2
0,0,69,7.0,train,0,2
0,0,69,8.0,train,0,2
0,0,69,9.0,train,0,2
0,0,69,10.0,train,0,2
0,0,72,4.0,test,2,2
0,0,72,1.0,train,2,2
0,0,72,2.0,train,2,2
0,0,72,3.0,train,2,2
0,0,72,5.0,train,2,2
0,0,72,6.0,train,2,2
0,0,72,7.0,train,2,2
0,0,72,8.0,train,2,2
0,0,72,9.0,train,2,2
0,0,72,10.0,train,2,2
0,0,80,4.0,test,1,1
0,0,80,1.0,train,1,1
0,0,80,2.0,train,1,1
0,0,80,3.0,train,1,1
0,0,80,5.0,train,1,1
0,0,80,6.0,train,1,1
0,0,80,7.0,train,1,1
0,0,80,8.0,train,1,1
0,0,80,9.0,train,1,1
0,0,80,10.0,train,1,1
0,0,81,4.0,test,1,3
0,0,81,1.0,train,1,3
0,0,81,2.0,train,1,3
0,0,81,3.0,train,1,3
0,0,81,5.0,train,1,3
0,0,81,6.0,train,1,3
0,0,81,7.0,train,1,3
0,0,81,8.0,train,1,3
0,0,81,9.0,train,1,3
0,0,81,10.0,train,1,3
0,0,90,4.0,test,1,1
0,0,90,1.0,train,1,1
0,0,90,2.0,train,1,1
0,0,90,3.0,train,1,1
0,0,90,5.0,train,1,1
0,0,90,6.0,train,1,1
0,0,90,7.0,train,1,1
0,0,90,8.0,train,1,1
0,0,90,9.0,train,1,1
0,0,90,10.0,train,1,1
0,0,9,4.0,test,0,6
0,0,9,1.0,train,0,6
0,0,9,2.0,train,0,6
0,0,9,3.0,train,0,6
0,0,9,5.0,train,0,6
0,0,9,6.0,train,0,6
0,0,9,7.0,train,0,6
0,0,9,8.0,train,0,6
0,0,9,9.0,train,0,6
0,0,9,10.0,train,0,6
0,0,48,5.0,test,1,3
0,0,48,1.0,train,1,3
0,0,48,2.0,train,1,3
0,0,48,3.0,train,1,3
0,0,48,4.0,train,1,3
0,0,48,6.0,train,1,3
0,0,48,7.0,train,1,3
0,0,48,8.0,train,1,3
0,0,48,9.0,train,1,3
0,0,48,10.0,train,1,3
0,0,71,5.0,test,2,1
0,0,71,1.0,train,2,1
0,0,71,2.0,train,2,1
0,0,71,3.0,train,2,1
0,0,71,4.0,train,2,1
0,0,71,6.0,train,2,1
0,0,71,7.0,train,2,1
0,0,71,8.0,train,2,1
0,0,71,9.0,train,2,1
0,0,71,10.0,train,2,1
0,0,84,5.0,test,1,1
0,0,84,1.0,train,1,1
0,0,84,2.0,train,1,1
0,0,84,3.0,train,1,1
0,0,84,4.0,train,1,1
0,0,84,6.0,train,1,1
0,0,84,7.0,train,1,1
0,0,84,8.0,train,1,1
0,0,84,9.0,train,1,1
0,0,84,10.0,train,1,1
0,0,25,5.0,test,2,2
0,0,25,1.0,train,2,2
0,0,25,2.0,train,2,2
0,0,25,3.0,train,2,2
0,0,25,4.0,train,2,2
0,0,25,6.0,train,2,2
0,0,25,7.0,train,2,2
0,0,25,8.0,train,2,2
0,0,25,9.0,train,2,2
0,0,25,10.0,train,2,2
0,0,61,5.0,test,0,2
0,0,61,1.0,train,0,2
0,0,61,2.0,train,0,2
0,0,61,3.0,train,0,2
0,0,61,4.0,train,0,2
0,0,61,6.0,train,0,2
0,0,61,7.0,train,0,2
0,0,61,8.0,train,0,2
0,0,61,9.0,train,0,2
0,0,61,10.0,train,0,2
0,0,26,5.0,test,2,4
0,0,26,1.0,train,2,4
0,0,26,2.0,train,2,4
0,0,26,3.0,train,2,4
0,0,26,4.0,train,2,4
0,0,26,6.0,train,2,4
0,0,26,7.0,train,2,4
0,0,26,8.0,train,2,4
0,0,26,9.0,train,2,4
0,0,26,10.0,train,2,4
0,0,44,6.0,test,1,2
0,0,44,1.0,train,1,2
0,0,44,2.0,train,1,2
0,0,44,3.0,train,1,2
0,0,44,4.0,train,1,2
0,0,44,5.0,train,1,2
0,0,44,7.0,train,1,2
0,0,44,8.0,train,1,2
0,0,44,9.0,train,1,2
0,0,44,10.0,train,1,2
0,0,62,6.0,test,0,2
0,0,62,1.0,train,0,2
0,0,62,2.0,train,0,2
0,0,62,3.0,train,0,2
0,0,62,4.0,train,0,2
0,0,62,5.0,train,0,2
0,0,62,7.0,train,0,2
0,0,62,8.0,train,0,2
0,0,62,9.0,train,0,2
0,0,62,10.0,train,0,2
0,0,73,6.0,test,2,1
0,0,73,1.0,train,2,1
0,0,73,2.0,train,2,1
0,0,73,3.0,train,2,1
0,0,73,4.0,train,2,1
0,0,73,5.0,train,2,1
0,0,73,7.0,train,2,1
0,0,73,8.0,train,2,1
0,0,73,9.0,train,2,1
0,0,73,10.0,train,2,1
0,0,41,6.0,test,2,11
0,0,41,1.0,train,2,11
0,0,41,2.0,train,2,11
0,0,41,3.0,train,2,11
0,0,41,4.0,train,2,11
0,0,41,5.0,train,2,11
0,0,41,7.0,train,2,11
0,0,41,8.0,train,2,11
0,0,41,9.0,train,2,11
0,0,41,10.0,train,2,11
0,0,74,6.0,test,2,1
0,0,74,1.0,train,2,1
0,0,74,2.0,train,2,1
0,0,74,3.0,train,2,1
0,0,74,4.0,train,2,1
0,0,74,5.0,train,2,1
0,0,74,7.0,train,2,1
0,0,74,8.0,train,2,1
0,0,74,9.0,train,2,1
0,0,74,10.0,train,2,1
0,0,97,6.0,test,2,1
0,0,97,1.0,train,2,1
0,0,97,2.0,train,2,1
0,0,97,3.0,train,2,1
0,0,97,4.0,train,2,1
0,0,97,5.0,train,2,1
0,0,97,7.0,train,2,1
0,0,97,8.0,train,2,1
0,0,97,9.0,train,2,1
0,0,97,10.0,train,2,1
0,0,86,6.0,test,1,1
0,0,86,1.0,train,1,1
0,0,86,2.0,train,1,1
0,0,86,3.0,train,1,1
0,0,86,4.0,train,1,1
0,0,86,5.0,train,1,1
0,0,86,7.0,train,1,1
0,0,86,8.0,train,1,1
0,0,86,9.0,train,1,1
0,0,86,10.0,train,1,1
0,0,82,7.0,test,1,1
0,0,82,1.0,train,1,1
0,0,82,2.0,train,1,1
0,0,82,3.0,train,1,1
0,0,82,4.0,train,1,1
0,0,82,5.0,train,1,1
0,0,82,6.0,train,1,1
0,0,82,8.0,train,1,1
0,0,82,9.0,train,1,1
0,0,82,10.0,train,1,1
0,0,7,7.0,test,2,7
0,0,7,1.0,train,2,7
0,0,7,2.0,train,2,7
0,0,7,3.0,train,2,7
0,0,7,4.0,train,2,7
0,0,7,5.0,train,2,7
0,0,7,6.0,train,2,7
0,0,7,8.0,train,2,7
0,0,7,9.0,train,2,7
0,0,7,10.0,train,2,7
