,sub_num,diff
0,0,1.4285714285714286
1,1,0.6043956043956044
2,2,0.17499999999999982
3,3,0.5357142857142858
4,5,-0.49732620320855614
5,8,0.3111111111111111
6,9,0.21367521367521364
7,10,-0.06666666666666665
8,13,0.2564102564102564
9,15,-0.1857142857142855
10,18,0.6153846153846154
11,19,0.2857142857142857
12,21,-0.46753246753246747
13,22,-0.4
14,23,0.05555555555555558
15,25,0.47252747252747246
16,28,0.2857142857142857
17,29,-0.5454545454545454
18,30,0.8571428571428571
19,31,0.2142857142857143
20,32,0.40476190476190477
21,33,0.07142857142857145
22,34,0.08730158730158727
23,37,0.6111111111111112
24,39,-0.8939393939393939
25,40,0.3846153846153846
26,41,-0.3999999999999999
27,44,0.24038461538461536
28,45,0.3666666666666667
29,46,0.5833333333333335
30,47,0.03571428571428581
31,48,2.138888888888889
32,50,0.08333333333333326
33,53,0.49350649350649345
34,54,-0.4750000000000001
35,55,0.3571428571428571
36,56,0.125
37,57,0.6785714285714286
38,58,0.16666666666666696
39,59,0.06837606837606836
40,64,0.45454545454545453
41,65,1.0666666666666669
42,69,0.11688311688311681
43,70,0.2637362637362637
44,71,0.4285714285714286
45,75,0.21978021978021967
46,76,0.41346153846153844
47,77,-0.20000000000000018
48,78,1.2857142857142858
49,80,0.5714285714285714
50,81,0.25
51,82,0.6153846153846154
52,85,0.8021978021978021
53,89,0.31868131868131866
54,92,-0.7272727272727273
55,94,0.12834224598930477
56,96,-0.5
57,97,-0.2
58,99,-0.5555555555555556
59,100,0.6703296703296704
60,101,-0.5250000000000004
61,104,0.3846153846153846
62,105,0.21428571428571425
63,106,1.9500000000000002
64,107,-1.0
65,108,-0.06349206349206349
66,110,0.16666666666666663
67,112,0.0892857142857143
68,113,0.6923076923076923
69,115,-0.1428571428571429
70,116,0.21978021978021967
71,117,-0.1826923076923077
72,119,0.6309523809523809
73,120,0.29670329670329665
74,121,0.7976190476190476
75,123,0.6363636363636364
76,124,0.21428571428571427
77,126,-0.08653846153846156
78,127,0.43956043956043966
79,128,0.5
80,132,0.01666666666666672
81,134,-0.11904761904761907
82,135,0.16666666666666674
83,136,0.3942307692307692
84,137,0.125
85,138,0.6428571428571429
86,141,0.251336898395722
87,142,0.5000000000000001
88,143,0.8500000000000001
89,146,0.7142857142857144
90,148,0.0
91,151,0.3736263736263735
92,154,0.14529914529914528
93,158,0.9
94,159,0.1367521367521367
95,161,0.976190476190476
96,162,-0.4999999999999999
97,163,-0.010695187165775388
98,164,0.4916666666666667
99,165,0.28571428571428575
100,167,0.4841269841269842
101,168,-1.0
102,169,-0.11111111111111094
103,170,0.3571428571428572
104,173,0.4285714285714286
105,175,-0.45833333333333326
106,177,-0.4064171122994653
107,182,0.5811965811965811
108,183,-0.1208791208791209
109,184,-0.05494505494505497
110,188,0.33653846153846156
111,190,0.3571428571428571
112,192,-0.03743315508021383
113,195,-0.2222222222222221
114,196,0.16346153846153844
115,197,-0.019230769230769273
