sub_num,block,prt_rel_om
0,1,0.4166666666666667
0,2,-0.7
0,3,-0.9166666666666666
0,4,-3.25
0,5,-2.2222222222222223
1,1,1.0833333333333333
1,2,0.2727272727272727
1,3,0.5833333333333334
1,4,-0.25
1,5,0.8
2,1,4.0
2,2,5.0
2,3,5.857142857142857
2,4,6.333333333333333
2,5,4.111111111111111
3,1,1.6363636363636365
3,2,1.4
3,3,0.4166666666666667
3,4,0.8181818181818182
3,5,0.5333333333333333
5,1,-3.0
5,2,-2.4
5,3,-4.166666666666667
5,4,-4.947368421052632
5,5,-1.0625
8,1,-0.9333333333333333
8,2,-1.0
8,3,-1.4285714285714286
8,4,-1.3571428571428572
8,5,-0.25
9,1,-0.2857142857142857
9,2,0.16666666666666666
9,3,0.5
9,4,0.8181818181818182
9,5,1.0714285714285714
10,1,0.6923076923076923
10,2,2.888888888888889
10,3,1.5454545454545454
10,4,0.9090909090909091
10,5,0.6428571428571429
13,1,-0.14285714285714285
13,2,-0.25
13,3,-0.8461538461538461
13,4,-0.9230769230769231
13,5,0.125
15,1,2.3
15,2,0.8
15,3,2.4444444444444446
15,4,1.4444444444444444
15,5,1.3076923076923077
18,1,0.8333333333333334
18,2,0.18181818181818182
18,3,0.3333333333333333
18,4,-0.08333333333333333
18,5,1.0714285714285714
19,1,0.6153846153846154
19,2,0.2727272727272727
19,3,1.7272727272727273
19,4,1.8888888888888888
19,5,1.5384615384615385
21,1,1.0
21,2,1.1
21,3,2.6666666666666665
21,4,1.8888888888888888
21,5,0.7857142857142857
22,1,-1.375
22,2,-1.4666666666666666
22,3,-1.5714285714285714
22,4,-1.8571428571428572
22,5,-0.125
23,1,4.25
23,2,3.125
23,3,0.9090909090909091
23,4,1.6666666666666667
23,5,1.3846153846153846
25,1,0.8333333333333334
25,2,0.45454545454545453
25,3,0.5833333333333334
25,4,1.0
25,5,1.2142857142857142
28,1,0.6923076923076923
28,2,-0.18181818181818182
28,3,0.08333333333333333
28,4,-0.3333333333333333
28,5,1.1428571428571428
29,1,-1.1875
29,2,-2.1875
29,3,-2.125
29,4,-3.3529411764705883
29,5,-1.0588235294117647
30,1,0.38461538461538464
30,2,0.36363636363636365
30,3,1.1818181818181819
30,4,1.0
30,5,0.7333333333333333
31,1,0.5384615384615384
31,2,0.8
31,3,0.7272727272727273
31,4,0.2727272727272727
31,5,0.7142857142857143
32,1,-0.9333333333333333
32,2,-0.38461538461538464
32,3,-0.38461538461538464
32,4,-0.8461538461538461
32,5,0.4666666666666667
33,1,0.46153846153846156
33,2,0.3333333333333333
33,3,0.4166666666666667
33,4,-0.46153846153846156
33,5,0.4666666666666667
34,1,0.8333333333333334
34,2,-1.0
34,3,-1.6666666666666667
34,4,-2.0
34,5,-0.375
37,1,8.333333333333334
37,2,4.714285714285714
37,3,2.1
37,4,1.6666666666666667
37,5,2.6363636363636362
39,1,2.6
39,2,2.888888888888889
39,3,3.3333333333333335
39,4,3.375
39,5,2.0833333333333335
40,1,1.0
40,2,1.2
40,3,0.4166666666666667
40,4,0.6363636363636364
40,5,0.4666666666666667
41,1,3.3333333333333335
41,2,0.5454545454545454
41,3,0.4166666666666667
41,4,0.45454545454545453
41,5,0.6666666666666666
44,1,0.0
44,2,0.36363636363636365
44,3,0.5
44,4,-0.5
44,5,0.6666666666666666
45,1,0.3076923076923077
45,2,-0.3076923076923077
45,3,-1.0
45,4,-0.8461538461538461
45,5,-0.125
46,1,4.375
46,2,3.625
46,3,2.888888888888889
46,4,3.625
46,5,2.5454545454545454
47,1,1.2727272727272727
47,2,0.18181818181818182
47,3,0.25
47,4,-0.4166666666666667
47,5,0.6
48,1,1.125
48,2,-1.7142857142857142
48,3,-3.176470588235294
48,4,-5.25
48,5,-2.7
50,1,2.5
50,2,2.6666666666666665
50,3,2.2
50,4,2.0
50,5,1.6153846153846154
53,1,2.1
53,2,1.1
53,3,2.6
53,4,1.7777777777777777
53,5,3.4
54,1,3.75
54,2,5.0
54,3,3.75
54,4,4.285714285714286
54,5,3.7777777777777777
55,1,0.5384615384615384
55,2,0.36363636363636365
55,3,0.5833333333333334
55,4,0.6363636363636364
55,5,0.8
56,1,0.5384615384615384
56,2,-0.16666666666666666
56,3,-0.07692307692307693
56,4,-0.5384615384615384
56,5,0.6
57,1,0.38461538461538464
57,2,0.0
57,3,-0.3076923076923077
57,4,-0.16666666666666666
57,5,0.4666666666666667
58,1,5.857142857142857
58,2,3.125
58,3,1.9
58,4,1.2
58,5,0.5714285714285714
59,1,-0.2857142857142857
59,2,0.16666666666666666
59,3,-0.23076923076923078
59,4,-0.8461538461538461
59,5,0.5333333333333333
64,1,4.375
64,2,-1.3846153846153846
64,3,-3.789473684210526
64,4,-4.684210526315789
64,5,-2.6
65,1,1.8
65,2,3.0
65,3,2.4444444444444446
65,4,5.0
65,5,5.625
69,1,2.3
69,2,0.8
69,3,1.4545454545454546
69,4,0.7272727272727273
69,5,1.3846153846153846
70,1,0.9166666666666666
70,2,1.0
70,3,2.6
70,4,0.7272727272727273
70,5,1.8333333333333333
71,1,0.3076923076923077
71,2,1.3
71,3,2.4
71,4,2.2222222222222223
71,5,1.9166666666666667
75,1,1.1666666666666667
75,2,1.1
75,3,0.4166666666666667
75,4,0.0
75,5,0.7857142857142857
76,1,0.0
76,2,0.5454545454545454
76,3,1.4545454545454546
76,4,0.9090909090909091
76,5,1.0714285714285714
77,1,4.25
77,2,5.571428571428571
77,3,4.25
77,4,5.571428571428571
77,5,4.555555555555555
78,1,0.5384615384615384
78,2,0.0
78,3,-1.7142857142857142
78,4,-4.473684210526316
78,5,-2.5
80,1,0.6153846153846154
80,2,0.45454545454545453
