sub_num,period,prt_rel_om
0,early,0.5384615384615384
0,late,-1.2
0,med,0.42857142857142855
1,early,0.6153846153846154
1,late,0.6
1,med,1.0
2,early,3.0
2,late,4.166666666666667
2,med,4.8
3,early,1.0833333333333333
3,late,0.4
3,med,0.7142857142857143
5,early,-0.2631578947368421
5,late,-0.75
5,med,-1.3333333333333333
8,early,0.0
8,late,0.05
8,med,-0.2857142857142857
9,early,0.0
9,late,0.7368421052631579
9,med,1.0
10,early,0.21428571428571427
10,late,0.47368421052631576
10,med,1.7142857142857142
13,early,0.06666666666666667
13,late,0.35
13,med,0.42857142857142855
15,early,2.090909090909091
15,late,1.375
15,med,4.166666666666667
18,early,0.5384615384615384
18,late,0.7894736842105263
18,med,0.7142857142857143
19,early,0.42857142857142855
19,late,1.3125
19,med,2.0
21,early,2.25
21,late,1.0
21,med,1.5
22,early,-0.2631578947368421
22,late,0.1
22,med,0.14285714285714285
23,early,2.375
23,late,1.375
23,med,1.1428571428571428
25,early,0.38461538461538464
25,late,0.8421052631578947
25,med,0.8571428571428571
28,early,0.35714285714285715
28,late,0.8947368421052632
28,med,0.42857142857142855
29,early,0.0
29,late,-0.35
29,med,-0.6666666666666666
30,early,0.42857142857142855
30,late,0.55
30,med,0.8571428571428571
31,early,0.35714285714285715
31,late,0.6842105263157895
31,med,1.0
32,early,-0.125
32,late,0.35
32,med,0.5714285714285714
33,early,0.2
33,late,0.35
33,med,1.0
34,early,0.8
34,late,-0.05
34,med,-0.375
37,early,6.5
37,late,2.357142857142857
37,med,1.4285714285714286
39,early,1.0
39,late,1.8666666666666667
39,med,2.1666666666666665
40,early,0.6153846153846154
40,late,0.35
40,med,1.0
41,early,1.3
41,late,0.5
41,med,1.1428571428571428
44,early,0.2857142857142857
44,late,0.5
44,med,0.8571428571428571
45,early,0.3125
45,late,0.15
45,med,0.14285714285714285
46,early,2.375
46,late,2.2857142857142856
46,med,2.6666666666666665
47,early,1.4166666666666667
47,late,0.75
47,med,1.0
48,early,2.4166666666666665
48,late,-1.7727272727272727
48,med,-0.8888888888888888
50,early,1.1818181818181819
50,late,1.4375
50,med,1.4285714285714286
53,early,2.4545454545454546
53,late,3.4615384615384617
53,med,2.7142857142857144
54,early,3.625
54,late,3.5
54,med,3.8
55,early,0.35714285714285715
55,late,0.65
55,med,1.1428571428571428
56,early,0.4666666666666667
56,late,0.55
56,med,0.7142857142857143
57,early,0.26666666666666666
57,late,0.35
57,med,0.42857142857142855
58,early,6.0
58,late,0.6111111111111112
58,med,1.1428571428571428
59,early,-0.13333333333333333
59,late,0.45
59,med,0.8571428571428571
64,early,0.7272727272727273
64,late,-1.7727272727272727
64,med,-1.4444444444444444
65,early,3.5
65,late,5.636363636363637
65,med,3.5
69,early,1.2727272727272727
69,late,1.0
69,med,1.8571428571428572
70,early,0.6153846153846154
70,late,1.6470588235294117
70,med,2.857142857142857
71,early,0.7857142857142857
71,late,1.7333333333333334
71,med,1.8571428571428572
75,early,0.8461538461538461
75,late,0.7368421052631579
75,med,1.2857142857142858
76,early,0.21428571428571427
76,late,0.8421052631578947
76,med,1.4285714285714286
77,early,2.5
77,late,3.9166666666666665
77,med,3.6
78,early,0.42857142857142855
78,late,-1.6818181818181819
78,med,0.8571428571428571
80,early,0.42857142857142855
80,late,0.8947368421052632
80,med,1.4285714285714286
81,early,0.7272727272727273
81,late,0.6111111111111112
81,med,1.0
82,early,0.6153846153846154
82,late,0.0
82,med,0.5714285714285714
85,early,0.9230769230769231
85,late,0.75
85,med,1.2857142857142858
89,early,0.46153846153846156
89,late,0.6
89,med,1.0
92,early,1.4
92,late,1.0625
92,med,1.5714285714285714
94,early,-0.6842105263157895
94,late,-1.05
94,med,-0.7777777777777778
96,early,0.46153846153846156
96,late,1.6
96,med,1.5714285714285714
97,early,-0.16666666666666666
97,late,0.0
