,sub_num,galaxy,condition,age,n_prac,block,planet,true_planet,prt,initial_reward,leave_thresh,total_reward,avg_rt,catch_perf,catch_rt,mean,mode,mean_post,mode_post,gal_0_trans_0,gal_0_trans_1,gal_0_trans_2,gal_1_trans_0,gal_1_trans_1,gal_1_trans_2,gal_2_trans_0,gal_2_trans_1,gal_2_trans_2,opt_prt,opt_prt_om,prt_rel_mvt,prt_rel_om
0,0,0,1.0,39.0,1.0,2.2857142857142856,19.285714285714285,30.285714285714285,2.2857142857142856,98.85714285714286,42.357142857142854,11551.0,833.2916666666666,2.0,4389.5,3.611111111111112,2.0,3.9090909090909087,2.0,0.7844102478717864,0.16770259654875044,0.04788715557946328,0.0,0.6161616161616159,0.3838383838383838,0.2551587301587301,0.10476190476190476,0.640079365079365,2.0,2.0,0.2857142857142857,0.2857142857142857
1,0,1,1.0,39.0,1.0,3.8846153846153846,41.11538461538461,63.57692307692308,1.9230769230769231,100.5,47.5,11551.0,452.76041666666663,2.0,4389.5,3.6111111111111134,2.0,3.9090909090909074,2.0,0.7090964590964588,0.13308913308913323,0.15781440781440784,0.0,0.6793480469889811,0.3206519530110188,0.11316425120772954,0.22669082125603876,0.6601449275362318,2.923076923076923,2.6153846153846154,-1.0,-0.6923076923076923
2,0,2,1.0,39.0,1.0,3.1785714285714284,33.535714285714285,51.892857142857146,3.5714285714285716,98.78571428571429,57.839285714285715,11551.0,741.7021490414347,2.0,4389.5,3.6111111111111134,2.0,3.9090909090909074,2.0,0.7239229024943313,0.13548752834467132,0.1405895691609978,0.0,0.5979659229659228,0.40203407703407695,0.12764803138810407,0.16747280384988963,0.7048791647620062,5.714285714285714,6.821428571428571,-2.142857142857143,-3.25
3,1,0,1.0,58.0,1.0,2.2857142857142856,19.642857142857142,30.285714285714285,2.0714285714285716,102.5,53.357142857142854,14725.0,578.1250000119047,2.0,2429.4500000000003,2.7647058823529416,2.0,2.3999999999999995,2.0,0.7844102478717864,0.16770259654875044,0.04788715557946328,0.0,0.6161616161616159,0.3838383838383838,0.2515873015873015,0.09841269841269841,0.6499999999999999,2.0,2.0,0.07142857142857142,0.07142857142857142
4,1,1,1.0,58.0,1.0,3.8846153846153846,39.65384615384615,63.57692307692308,3.1153846153846154,99.84615384615384,34.40384615384615,14725.0,419.11192307576937,2.0,2429.449999999999,2.7647058823529416,2.0,2.399999999999999,2.0,0.7090964590964588,0.13308913308913323,0.15781440781440784,0.0,0.6793480469889811,0.3206519530110188,0.12121465491030703,0.23653846153846153,0.6422468835512316,2.769230769230769,2.1153846153846154,0.34615384615384615,1.0
5,1,2,1.0,58.0,1.0,2.727272727272727,26.59090909090909,40.95454545454545,6.7727272727272725,100.0909090909091,36.43181818181818,14725.0,371.0855753869065,2.0,2429.449999999999,2.7647058823529416,2.0,2.399999999999999,2.0,0.7294372294372296,0.15476190476190485,0.11580086580086581,0.0,0.5797061524334249,0.4202938475665748,0.12317972050391332,0.14892526143078996,0.7278950180652964,5.818181818181818,6.545454545454546,0.9545454545454546,0.22727272727272727
6,2,0,1.0,32.0,1.0,2.5,12.125,30.875,5.0,102.125,1.5,9680.0,227.0257142685714,2.0,4431.200000000001,2.5454545454545454,3.0,2.1666666666666665,1.0,0.6996598639455783,0.22755102040816325,0.07278911564625849,0.0,0.6458333333333334,0.3541666666666667,0.27777777777777785,0.1111111111111111,0.611111111111111,2.0,2.0,3.0,3.0
7,2,1,1.0,32.0,1.0,3.7058823529411766,22.705882352941178,57.588235294117645,7.352941176470588,100.3529411764706,2.235294117647059,9680.0,192.40741568334371,2.0,4431.199999999999,2.545454545454546,3.0,2.166666666666667,1.0,0.5955882352941176,0.21323529411764708,0.19117647058823528,0.0,0.7365002185314687,0.2634997814685315,0.15306122448979595,0.2423469387755102,0.6045918367346939,2.9411764705882355,3.0,4.411764705882353,4.352941176470588
8,2,2,1.0,32.0,1.0,2.4166666666666665,15.25,32.916666666666664,15.25,98.5,9.625,9680.0,184.4835182557591,2.0,4431.2,2.545454545454546,3.0,2.166666666666667,1.0,0.5812499999999999,0.25625000000000003,0.1625,0.0,0.6388888888888888,0.3611111111111111,0.1656270497179588,0.09062704971795882,0.7437459005640824,7.083333333333333,8.166666666666666,8.166666666666666,7.083333333333333
9,3,0,1.0,41.0,1.0,2.3846153846153846,19.307692307692307,31.76923076923077,2.5384615384615383,99.15384615384616,27.692307692307693,14164.0,300.7185897440513,2.0,1716.5499999999995,2.75,2.0,2.5555555555555562,2.0,0.76768278018278,0.17526755651755654,0.057049663299663295,0.0,0.611570247933884,0.3884297520661157,0.24805194805194802,0.11428571428571428,0.6376623376623377,2.0,2.0,0.5384615384615384,0.5384615384615384
