block,diff,entropy,galaxy,gamma_effective,opt_prt,prt,true_planet
1,0,0.0,0,0.8807970779778823,2,2,0
1,0,2.9984969695595693,0,0.8455543643383144,2,2,1
1,0,5.764019918633378,1,0.8059018509696264,3,3,2
1,0,5.618581627814533,1,0.8081667393517079,3,3,3
1,0,4.780175200377574,1,0.8208302253549833,3,3,4
1,-1,5.3926107880537755,2,0.8116456648409544,6,5,5
1,0,3.483657725538572,2,0.8391117986250067,5,5,6
1,-1,0.0,2,0.8807970779778823,7,6,7
1,0,5.719132025039927,0,0.8066030416122493,2,2,8
1,0,5.510560216732702,0,0.8098358580172671,2,2,9
1,0,5.634615497343337,0,0.8079180382115763,2,2,10
1,0,8.131133125163133,0,0.766183788422544,2,2,11
1,0,8.089878400378787,0,0.7669220393567985,2,2,12
1,-2,4.673516139550546,2,0.8223934743016598,7,5,13
2,0,8.093460784992146,0,0.7668579971683519,2,2,20
2,0,8.15577283890293,0,0.765742087862363,2,2,21
2,0,8.19882373370536,0,0.764968952685651,2,2,22
2,-1,1.6978473556801772,2,0.8617873689493097,7,6,23
2,0,0.0,2,0.8807970779778823,7,7,24
2,-1,1.6978473556801772,2,0.8617873689493097,6,5,25
2,0,1.3024421011717315,2,0.866430017792849,6,6,26
2,0,2.6048330118616736,2,0.8506256668326512,5,5,27
2,1,6.7422186215026745,1,0.790141431780115,2,3,28
2,0,0.0,2,0.8807970779778823,8,8,29
2,0,0.0,2,0.8807970779778823,6,6,30
2,-1,6.66417374007129,0,0.7914326256611788,2,1,31
3,1,7.580005250842606,1,0.7759118600455243,2,3,40
3,0,0.0,2,0.8807970779778823,7,7,41
3,1,6.385809037070203,1,0.7959902412450951,2,3,42
3,1,6.616521811221066,1,0.7922181095593422,2,3,43
3,1,6.768250456872992,1,0.7897094511963901,2,3,44
3,1,7.04023123893066,1,0.7851571192845204,2,3,45
3,0,0.0,2,0.8807970779778823,7,7,46
3,0,0.0,2,0.8807970779778823,6,6,47
3,1,7.245768108009894,1,0.7816696949037057,2,3,48
3,1,6.985359641143572,1,0.7860812747743572,2,3,49
3,0,0.0,2,0.8807970779778823,6,6,50
3,-1,0.0,2,0.8807970779778823,7,6,51
4,0,7.671015585165608,0,0.7743254666703643,2,2,60
4,0,7.920112627913729,0,0.7699428858181728,2,2,61
4,0,7.746504606309691,0,0.7730035985852711,2,2,62
4,0,0.0,2,0.8807970779778823,6,6,63
4,0,0.0,2,0.8807970779778823,6,6,64
4,0,0.0,2,0.8807970779778823,6,6,65
4,0,0.0,2,0.8807970779778823,7,7,66
4,0,0.0,2,0.8807970779778823,7,7,67
4,0,0.0,2,0.8807970779778823,6,6,68
4,0,6.617926299785704,0,0.7921949895241689,2,2,69
4,0,6.918684155583316,0,0.787200334390728,2,2,70
4,-1,0.0,2,0.8807970779778823,6,5,71
5,1,8.542409368000389,1,0.7587354402189878,2,3,80
5,1,9.025353411030741,1,0.7497847576869052,2,3,81
5,1,6.439503750857373,1,0.7951169080849871,2,3,82
5,0,9.275838009793532,1,0.7450561384487159,2,2,83
5,1,8.26830422932974,1,0.7637174537549589,2,3,84
5,1,6.122573535718973,1,0.8002316249711144,2,3,85
5,0,8.275069853528468,1,0.7635953441835545,2,2,86
5,1,8.141329319793702,1,0.7660010779067588,2,3,87
5,1,5.951282819524732,1,0.8029558187102522,3,4,88
5,1,7.840407205655724,1,0.7713516760461772,2,3,89
5,1,5.850108743141871,1,0.8045516673120021,2,3,90
5,0,7.265310598005464,1,0.7813359949235098,2,2,91
5,1,7.989485615879665,1,0.7687117757350961,2,3,92
5,1,4.917404705329934,1,0.8188031259568967,2,3,93
