block,diff,entropy,galaxy,gamma_effective,opt_prt,prt,true_planet
1,0,0.0,0,0.8807970779778823,2,2,0
1,1,3.0265523980200664,0,0.26375303943971995,2,3,1
1,1,2.930600646392239,1,0.28280287226592193,3,4,2
1,1,2.659294450097962,1,0.3408981213517531,3,4,3
1,1,2.408301287286418,1,0.39931951045239755,3,4,4
1,2,2.5926651411651203,2,0.3560235810886869,6,8,5
1,2,1.9192316301183365,2,0.5201811226505232,6,8,6
1,0,0.0,2,0.8807970779778823,7,7,7
1,1,2.8032866376625822,0,0.309322914530064,2,3,8
1,2,4.894628690841701,0,0.0524197256799595,2,4,9
1,2,4.4755898629630835,0,0.07758723704391125,2,4,10
1,0,7.384762478650194,0,0.004564994705388628,2,2,11
2,3,6.723702727713476,0,0.008804029699929059,2,5,20
2,2,7.247304878070993,0,0.005234139806716412,2,4,21
2,3,5.736697079652171,0,0.02327791539572563,2,5,22
2,1,0.0,2,0.8807970779778823,7,8,23
2,0,0.0,2,0.8807970779778823,8,8,24
2,1,0.0,2,0.8807970779778823,6,7,25
2,1,0.0,2,0.8807970779778823,6,7,26
2,1,0.0,2,0.8807970779778823,5,6,27
2,4,3.573134549970407,1,0.17176999587012942,2,6,28
2,-2,0.0,2,0.8807970779778823,8,6,29
3,3,4.380741597686133,1,0.08465308389292077,2,5,40
3,1,0.0,2,0.8807970779778823,7,8,41
3,3,3.2215169713384966,1,0.22766960197822425,2,5,42
3,3,2.1814824304830953,1,0.45475351031459893,2,5,43
3,2,3.616762210492387,1,0.1656518851048557,3,5,44
3,3,3.395485709011716,1,0.19853343856489944,2,5,45
3,0,0.0,2,0.8807970779778823,7,7,46
3,1,0.0,2,0.8807970779778823,6,7,47
3,3,1.3024421011717315,1,0.6676461046897854,2,5,48
3,2,1.3024421011717315,1,0.6676461046897854,2,4,49
3,-6,9.006286497918804,2,0.0009053470066444759,7,1,50
4,3,7.021365582119177,0,0.006552298068440401,2,5,60
4,2,6.170031875140557,0,0.015216643549192322,2,4,61
4,3,2.5926651411651696,0,0.3560235810886756,2,5,62
4,1,0.0,2,0.8807970779778823,6,7,63
4,0,0.0,2,0.8807970779778823,6,6,64
4,0,0.0,2,0.8807970779778823,7,7,65
4,1,0.0,2,0.8807970779778823,7,8,66
4,0,0.0,2,0.8807970779778823,8,8,67
4,0,0.0,2,0.8807970779778823,7,7,68
4,2,4.714171396501127,0,0.06214229526549976,2,4,69
5,3,3.90717168015449,1,0.12929893272003312,2,5,80
5,2,1.6978473556801772,1,0.5749686640903919,2,4,81
5,2,0.0,1,0.8807970779778823,2,4,82
5,3,0.0,1,0.8807970779778823,2,5,83
5,1,3.000186023972994,1,0.26890484840913587,3,4,84
5,1,2.6048330118616736,1,0.3532387568070149,2,3,85
5,2,3.000186023972994,1,0.26890484840913587,2,4,86
5,2,1.6978473556801772,1,0.5749686640903919,2,4,87
5,2,1.3024421011717315,1,0.6676461046897854,3,5,88
5,2,2.6048330118616736,1,0.3532387568070149,2,4,89
5,2,1.3024421011717315,1,0.6676461046897854,2,4,90
5,1,1.3024421011717315,1,0.6676461046897854,2,3,91
