alpha,diff,galaxy,gamma_base,gamma_coef,sub_num
0,-0.11764705882352941,0,5,-1,90
0,0.175,0,5,-1,91
0,0.024096385542168676,0,5,-1,92
0,0.13414634146341464,0,5,-1,93
0,0.13414634146341464,0,5,-1,94
0,0.16049382716049382,0,5,-1,95
0,0.13414634146341464,0,5,-1,96
0,0.20987654320987653,0,5,-1,97
0,0.13414634146341464,0,5,-1,98
0,0.12195121951219512,0,5,-1,99
0,0.07317073170731707,0,5,-1,100
0,-0.047058823529411764,0,5,0,1
0,0.12345679012345678,0,5,0,2
0,0.12195121951219512,0,5,0,3
0,0.08536585365853659,0,5,0,4
0,0.10975609756097561,0,5,0,5
0,0.13414634146341464,0,5,0,6
0,0.2375,0,5,0,7
0,0.12345679012345678,0,5,0,8
0,0.09876543209876543,0,5,0,9
0,0.12195121951219512,0,5,0,10
0,0.15853658536585366,0,5,0,11
0,-0.03529411764705882,0,5,0,12
0,0.2,0,5,0,13
0,0.10975609756097561,0,5,0,14
0,0.2625,0,5,0,15
0,-0.011904761904761904,0,5,0,16
0,0.2375,0,5,0,17
0,0.15,0,5,0,18
0,0.03614457831325301,0,5,0,19
0,0.12345679012345678,0,5,0,20
0,-0.10588235294117647,0,5,0,21
0,0.1625,0,5,0,22
0,0.25,0,5,0,23
0,-0.14285714285714285,0,5,0,24
0,0.25925925925925924,0,5,0,25
0,0.19753086419753085,0,5,0,26
0,0.12195121951219512,0,5,0,27
0,0.15,0,5,0,28
0,0.08536585365853659,0,5,0,29
0,0.12195121951219512,0,5,0,30
0,0.12345679012345678,0,5,0,31
0,-0.03571428571428571,0,5,0,32
0,0.024096385542168676,0,5,0,33
0,0.2125,0,5,0,34
0,0.1728395061728395,0,5,0,35
0,0.25,0,5,0,36
0,0.12345679012345678,0,5,0,37
0,0.13580246913580246,0,5,0,38
0,0.12345679012345678,0,5,0,39
0,0.125,0,5,0,40
0,0.03614457831325301,0,5,0,41
0,0.2222222222222222,0,5,0,42
0,0.19753086419753085,0,5,0,43
0,0.12195121951219512,0,5,0,44
0,0.225,0,5,0,45
0,0.14814814814814814,0,5,0,46
0,0.125,0,5,0,47
0,0.2875,0,5,0,48
0,0.2625,0,5,0,49
0,0.1625,0,5,0,50
0,0.25,0,5,0,51
0,0.10843373493975904,0,5,0,52
0,0.2,0,5,0,53
0,0.04819277108433735,0,5,0,54
0,0.13414634146341464,0,5,0,55
0,0.03614457831325301,0,5,0,56
0,0.18292682926829268,0,5,0,57
0,0.25925925925925924,0,5,0,58
0,0.08641975308641975,0,5,0,59
0,0.07407407407407407,0,5,0,60
0,0.14814814814814814,0,5,0,61
0,0.2375,0,5,0,62
0,0.0963855421686747,0,5,0,63
0,0.14814814814814814,0,5,0,64
0,0.13580246913580246,0,5,0,65
0,-0.060240963855421686,0,5,0,66
0,0.0,0,5,0,67
0,0.19753086419753085,0,5,0,68
0,0.2625,0,5,0,69
0,0.04878048780487805,0,5,0,70
0,0.175,0,5,0,71
0,0.15,0,5,0,72
0,0.3125,0,5,0,73
0,0.08641975308641975,0,5,0,74
0,-0.060240963855421686,0,5,0,75
0,0.19753086419753085,0,5,0,76
0,0.1875,0,5,0,77
0,0.14814814814814814,0,5,0,78
0,0.2375,0,5,0,79
0,0.13580246913580246,0,5,0,80
0,0.16049382716049382,0,5,0,81
0,0.225,0,5,0,82
0,0.175,0,5,0,83
0,0.15,0,5,0,84
0,0.2375,0,5,0,85
0,0.03571428571428571,0,5,0,86
0,0.09876543209876543,0,5,0,87
0,0.1728395061728395,0,5,0,88
0,-0.13095238095238096,0,5,0,89
0,0.1728395061728395,0,5,0,90
0,0.04878048780487805,0,5,0,91
0,0.10843373493975904,0,5,0,92
0,0.275,0,5,0,93
0,0.0963855421686747,0,5,0,94
0,0.06097560975609756,0,5,0,95
0,0.0,0,5,0,96
0,0.225,0,5,0,97
0,0.024390243902439025,0,5,0,98
0,0.10975609756097561,0,5,0,99
0,0.12345679012345678,0,5,0,100
0,0.12345679012345678,0,5,1,1
0,0.2375,0,5,1,2
0,0.1728395061728395,0,5,1,3
0,0.2125,0,5,1,4
0,0.15,0,5,1,5
0,0.1111111111111111,0,5,1,6
0,0.14457831325301204,0,5,1,7
0,0.2,0,5,1,8
0,-0.023809523809523808,0,5,1,9
0,0.1375,0,5,1,10
0,0.15853658536585366,0,5,1,11
0,0.1111111111111111,0,5,1,12
0,0.011904761904761904,0,5,1,13
0,0.10843373493975904,0,5,1,14
0,0.2222222222222222,0,5,1,15
0,0.16049382716049382,0,5,1,16
0,0.08536585365853659,0,5,1,17
0,0.10975609756097561,0,5,1,18
0,0.2222222222222222,0,5,1,19
0,0.12345679012345678,0,5,1,20
0,0.058823529411764705,0,5,1,21
0,0.0,0,5,1,22
0,0.2375,0,5,1,23
0,0.18518518518518517,0,5,1,24
0,0.06097560975609756,0,5,1,25
0,0.04819277108433735,0,5,1,26
0,0.19753086419753085,0,5,1,27
0,0.2,0,5,1,28
0,0.2125,0,5,1,29
0,0.14634146341463414,0,5,1,30
0,0.1125,0,5,1,31
0,-0.07058823529411765,0,5,1,32
0,0.036585365853658534,0,5,1,33
0,0.2345679012345679,0,5,1,34
0,0.1728395061728395,0,5,1,35
0,0.1375,0,5,1,36
0,0.04878048780487805,0,5,1,37
0,-0.047058823529411764,0,5,1,38
0,0.15,0,5,1,39
0,0.16049382716049382,0,5,1,40
0,0.0,0,5,1,41
0,0.2345679012345679,0,5,1,42
0,0.06172839506172839,0,5,1,43
0,0.07407407407407407,0,5,1,44
0,0.03614457831325301,0,5,1,45
0,0.04819277108433735,0,5,1,46
0,0.2222222222222222,0,5,1,47
0,0.1111111111111111,0,5,1,48
0,0.04819277108433735,0,5,1,49
0,0.08641975308641975,0,5,1,50
0,0.125,0,5,1,51
0,0.06097560975609756,0,5,1,52
0,0.024096385542168676,0,5,1,53
0,0.08536585365853659,0,5,1,54
0,0.175,0,5,1,55
0,0.037037037037037035,0,5,1,56
0,0.10975609756097561,0,5,1,57
0,0.08536585365853659,0,5,1,58
0,0.16049382716049382,0,5,1,59
0,0.1111111111111111,0,5,1,60
0,0.0,0,5,1,61
0,0.2125,0,5,1,62
0,0.060240963855421686,0,5,1,63
0,0.2375,0,5,1,64
0,0.0,0,5,1,65
0,0.15,0,5,1,66
0,0.012048192771084338,0,5,1,67
0,0.1625,0,5,1,68
0,0.0963855421686747,0,5,1,69
0,0.225,0,5,1,70
0,0.2375,0,5,1,71
0,0.08641975308641975,0,5,1,72
0,0.2,0,5,1,73
0,0.1728395061728395,0,5,1,74
0,0.1875,0,5,1,75
0,0.08641975308641975,0,5,1,76
0,0.18518518518518517,0,5,1,77
0,0.1875,0,5,1,78
0,0.1625,0,5,1,79
0,0.1625,0,5,1,80
0,0.2625,0,5,1,81
0,0.07317073170731707,0,5,1,82
0,0.1951219512195122,0,5,1,83
0,0.14814814814814814,0,5,1,84
0,0.2222222222222222,0,5,1,85
0,0.2125,0,5,1,86
0,-0.024096385542168676,0,5,1,87
0,0.04819277108433735,0,5,1,88
0,0.09876543209876543,0,5,1,89
0,0.06097560975609756,0,5,1,90
0,0.03614457831325301,0,5,1,91
0,0.13580246913580246,0,5,1,92
0,0.225,0,5,1,93
0,0.1111111111111111,0,5,1,94
0,0.011904761904761904,0,5,1,95
0,0.1728395061728395,0,5,1,96
0,0.15,0,5,1,97
0,0.14814814814814814,0,5,1,98
0,0.08641975308641975,0,5,1,99
0,0.1875,0,5,1,100
0,-0.011904761904761904,0,5,10,1
0,0.16049382716049382,0,5,10,2
0,0.1125,0,5,10,3
0,0.16049382716049382,0,5,10,4
0,0.2375,0,5,10,5
0,0.325,0,5,10,6
0,-0.058823529411764705,0,5,10,7
0,0.08536585365853659,0,5,10,8
0,0.08536585365853659,0,5,10,9
0,0.09876543209876543,0,5,10,10
0,0.18518518518518517,0,5,10,11
0,0.04819277108433735,0,5,10,12
0,0.1111111111111111,0,5,10,13
0,0.275,0,5,10,14
0,0.14814814814814814,0,5,10,15
0,0.1728395061728395,0,5,10,16
0,0.06172839506172839,0,5,10,17
0,-0.011904761904761904,0,5,10,18
0,0.25,0,5,10,19
0,0.175,0,5,10,20
0,0.16049382716049382,0,5,10,21
0,0.060240963855421686,0,5,10,22
0,0.024096385542168676,0,5,10,23
0,0.06097560975609756,0,5,10,24
0,0.14634146341463414,0,5,10,25
0,0.0975609756097561,0,5,10,26
0,0.1875,0,5,10,27
0,0.2375,0,5,10,28
0,0.036585365853658534,0,5,10,29
0,0.2125,0,5,10,30
0,-0.023809523809523808,0,5,10,31
0,0.1625,0,5,10,32
0,0.08536585365853659,0,5,10,33
0,0.1625,0,5,10,34
0,0.225,0,5,10,35
0,0.125,0,5,10,36
0,-0.25882352941176473,0,5,10,37
0,0.08536585365853659,0,5,10,38
0,0.2125,0,5,10,39
0,0.12345679012345678,0,5,10,40
0,0.2,0,5,10,41
0,0.0963855421686747,0,5,10,42
0,0.2,0,5,10,43
0,-0.03614457831325301,0,5,10,44
0,0.1111111111111111,0,5,10,45
0,0.1875,0,5,10,46
0,0.08536585365853659,0,5,10,47
0,0.18518518518518517,0,5,10,48
0,0.09876543209876543,0,5,10,49
0,0.06097560975609756,0,5,10,50
0,0.2125,0,5,10,51
0,0.3,0,5,10,52
0,0.09876543209876543,0,5,10,53
0,0.1125,0,5,10,54
0,0.0,0,5,10,55
0,0.325,0,5,10,56
0,0.0975609756097561,0,5,10,57
0,-0.07142857142857142,0,5,10,58
0,0.08641975308641975,0,5,10,59
0,0.2,0,5,10,60
0,-0.04819277108433735,0,5,10,61
0,0.2839506172839506,0,5,10,62
0,0.08641975308641975,0,5,10,63
0,0.15,0,5,10,64
0,0.275,0,5,10,65
0,0.10975609756097561,0,5,10,66
0,0.12195121951219512,0,5,10,67
0,-0.10843373493975904,0,5,10,68
0,0.012048192771084338,0,5,10,69
0,0.06097560975609756,0,5,10,70
0,0.1375,0,5,10,71
0,-0.012048192771084338,0,5,10,72
0,0.15,0,5,10,73
0,0.036585365853658534,0,5,10,74
0,0.04938271604938271,0,5,10,75
0,0.06097560975609756,0,5,10,76
0,0.1625,0,5,10,77
0,0.09876543209876543,0,5,10,78
0,0.1875,0,5,10,79
0,0.1728395061728395,0,5,10,80
0,0.20987654320987653,0,5,10,81
0,0.15,0,5,10,82
0,0.16049382716049382,0,5,10,83
0,0.3,0,5,10,84
0,0.0963855421686747,0,5,10,85
0,0.175,0,5,10,86
0,0.15853658536585366,0,5,10,87
0,0.07407407407407407,0,5,10,88
0,0.16049382716049382,0,5,10,89
0,0.03571428571428571,0,5,10,90
0,0.06097560975609756,0,5,10,91
0,0.024691358024691357,0,5,10,92
0,0.03571428571428571,0,5,10,93
0,0.13580246913580246,0,5,10,94
0,0.1375,0,5,10,95
0,-0.024096385542168676,0,5,10,96
0,0.04878048780487805,0,5,10,97
0,0.325,0,5,10,98
0,0.2,0,5,10,99
0,0.14814814814814814,0,5,10,100
0,0.15853658536585366,0,5,20,1
0,0.1728395061728395,0,5,20,2
0,0.14457831325301204,0,5,20,3
0,0.09876543209876543,0,5,20,4
0,0.14814814814814814,0,5,20,5
0,0.25,0,5,20,6
0,0.0975609756097561,0,5,20,7
0,0.012048192771084338,0,5,20,8
0,0.08536585365853659,0,5,20,9
0,0.2,0,5,20,10
0,0.0975609756097561,0,5,20,11
0,0.175,0,5,20,12
0,0.03571428571428571,0,5,20,13
0,0.12345679012345678,0,5,20,14
0,0.2875,0,5,20,15
0,0.0975609756097561,0,5,20,16
0,0.12345679012345678,0,5,20,17
0,0.15,0,5,20,18
0,0.2375,0,5,20,19
0,0.175,0,5,20,20
0,0.16049382716049382,0,5,20,21
0,0.19753086419753085,0,5,20,22
0,-0.05952380952380952,0,5,20,23
0,0.15,0,5,20,24
0,0.16049382716049382,0,5,20,25
0,0.16049382716049382,0,5,20,26
0,0.2,0,5,20,27
0,0.175,0,5,20,28
0,0.08333333333333333,0,5,20,29
0,-0.012048192771084338,0,5,20,30
0,0.024096385542168676,0,5,20,31
0,-0.024096385542168676,0,5,20,32
0,0.13580246913580246,0,5,20,33
0,-0.024096385542168676,0,5,20,34
0,0.225,0,5,20,35
0,0.09876543209876543,0,5,20,36
0,0.1728395061728395,0,5,20,37
0,0.1,0,5,20,38
0,0.13414634146341464,0,5,20,39
0,0.14457831325301204,0,5,20,40
0,0.2345679012345679,0,5,20,41
0,0.17073170731707318,0,5,20,42
0,0.225,0,5,20,43
0,-0.08333333333333333,0,5,20,44
0,0.1625,0,5,20,45
0,0.2625,0,5,20,46
0,0.18518518518518517,0,5,20,47
0,0.14285714285714285,0,5,20,48
0,0.13580246913580246,0,5,20,49
0,0.1125,0,5,20,50
0,0.024096385542168676,0,5,20,51
0,0.25,0,5,20,52
0,-0.012195121951219513,0,5,20,53
0,-0.08235294117647059,0,5,20,54
0,-0.05952380952380952,0,5,20,55
0,0.04819277108433735,0,5,20,56
0,0.1625,0,5,20,57
0,0.024096385542168676,0,5,20,58
0,0.07228915662650602,0,5,20,59
0,0.09876543209876543,0,5,20,60
0,0.07228915662650602,0,5,20,61
0,0.13580246913580246,0,5,20,62
0,0.06172839506172839,0,5,20,63
0,0.06097560975609756,0,5,20,64
0,0.12195121951219512,0,5,20,65
0,0.19753086419753085,0,5,20,66
0,0.036585365853658534,0,5,20,67
0,0.25,0,5,20,68
0,-0.012048192771084338,0,5,20,69
0,0.12345679012345678,0,5,20,70
0,0.125,0,5,20,71
0,0.07228915662650602,0,5,20,72
0,0.2875,0,5,20,73
0,0.17073170731707318,0,5,20,74
0,0.04819277108433735,0,5,20,75
0,-0.11904761904761904,0,5,20,76
0,0.08433734939759036,0,5,20,77
0,0.2875,0,5,20,78
0,0.1728395061728395,0,5,20,79
0,0.12195121951219512,0,5,20,80
0,0.2375,0,5,20,81
0,0.175,0,5,20,82
0,0.2125,0,5,20,83
0,0.1,0,5,20,84
0,0.16049382716049382,0,5,20,85
0,-0.29069767441860467,0,5,20,86
0,0.2125,0,5,20,87
0,-0.012048192771084338,0,5,20,88
0,0.0,0,5,20,89
0,0.10975609756097561,0,5,20,90
0,0.2,0,5,20,91
0,0.14814814814814814,0,5,20,92
0,0.06097560975609756,0,5,20,93
0,0.2125,0,5,20,94
0,0.1111111111111111,0,5,20,95
0,0.225,0,5,20,96
0,-0.1411764705882353,0,5,20,97
0,0.08536585365853659,0,5,20,98
0,0.04878048780487805,0,5,20,99
0,-0.09523809523809523,0,5,20,100
1,0.1875,0,5,-20,1
1,0.15,0,5,-20,2
1,0.175,0,5,-20,3
1,0.1625,0,5,-20,4
1,0.12345679012345678,0,5,-20,5
1,0.3,0,5,-20,6
1,0.2375,0,5,-20,7
1,0.1875,0,5,-20,8
1,0.125,0,5,-20,9
1,0.1875,0,5,-20,10
1,0.2222222222222222,0,5,-20,11
1,0.25,0,5,-20,12
1,0.1625,0,5,-20,13
1,0.3,0,5,-20,14
1,0.25,0,5,-20,15
1,0.09876543209876543,0,5,-20,16
1,0.2375,0,5,-20,17
1,0.1625,0,5,-20,18
1,0.13580246913580246,0,5,-20,19
1,0.1125,0,5,-20,20
1,0.15,0,5,-20,21
1,0.1728395061728395,0,5,-20,22
1,0.25,0,5,-20,23
1,0.15,0,5,-20,24
1,0.2,0,5,-20,25
1,0.12195121951219512,0,5,-20,26
1,0.16049382716049382,0,5,-20,27
1,0.1125,0,5,-20,28
1,0.16049382716049382,0,5,-20,29
1,0.225,0,5,-20,30
1,0.15,0,5,-20,31
1,0.07407407407407407,0,5,-20,32
1,0.1625,0,5,-20,33
1,0.2125,0,5,-20,34
1,0.13580246913580246,0,5,-20,35
1,0.225,0,5,-20,36
1,0.1125,0,5,-20,37
1,0.1625,0,5,-20,38
1,0.1111111111111111,0,5,-20,39
1,0.0,0,5,-20,40
1,0.16049382716049382,0,5,-20,41
1,0.2625,0,5,-20,42
1,0.15,0,5,-20,43
1,0.2,0,5,-20,44
1,0.08641975308641975,0,5,-20,45
1,0.1111111111111111,0,5,-20,46
1,0.1625,0,5,-20,47
1,0.07407407407407407,0,5,-20,48
1,0.14814814814814814,0,5,-20,49
1,0.2,0,5,-20,50
1,0.08641975308641975,0,5,-20,51
1,0.14634146341463414,0,5,-20,52
1,0.2875,0,5,-20,53
1,0.1875,0,5,-20,54
1,0.03571428571428571,0,5,-20,55
1,0.15,0,5,-20,56
1,0.2625,0,5,-20,57
1,0.2125,0,5,-20,58
1,0.14814814814814814,0,5,-20,59
1,0.06172839506172839,0,5,-20,60
1,0.2375,0,5,-20,61
1,0.3,0,5,-20,62
1,0.3375,0,5,-20,63
1,0.2125,0,5,-20,64
1,0.1125,0,5,-20,65
1,0.2,0,5,-20,66
1,0.1728395061728395,0,5,-20,67
1,0.2375,0,5,-20,68
1,0.2875,0,5,-20,69
1,0.2,0,5,-20,70
1,0.08641975308641975,0,5,-20,71
1,0.08536585365853659,0,5,-20,72
1,0.1625,0,5,-20,73
1,0.16049382716049382,0,5,-20,74
1,0.15,0,5,-20,75
