block,diff,entropy,galaxy,gamma_effective,opt_prt,prt,true_planet
1,0,0.0,0,0.8807970779778823,2,2,0
1,0,3.003389442393548,0,0.8807970779778823,2,2,1
1,0,5.766255190786941,1,0.8807970779778823,3,3,2
1,0,8.297093413409154,1,0.8807970779778823,3,3,3
1,0,10.663251426642752,1,0.8807970779778823,3,3,4
1,-2,9.901798685743946,2,0.8807970779778823,6,4,5
1,0,4.687528383465114,2,0.8807970779778823,5,5,6
1,0,1.9192316301183365,2,0.8807970779778823,7,7,7
1,0,10.44533371943653,0,0.8807970779778823,2,2,8
1,0,10.50345059274341,0,0.8807970779778823,2,2,9
1,0,10.544832047075724,0,0.8807970779778823,2,2,10
1,0,10.35639369276129,0,0.8807970779778823,2,2,11
1,0,9.836353868676982,0,0.8807970779778823,2,2,12
1,0,3.2215169713384957,2,0.8807970779778823,5,5,13
2,0,11.997830282750938,0,0.8807970779778823,2,2,20
2,0,10.281266838366124,0,0.8807970779778823,2,2,21
2,0,11.493669265524076,0,0.8807970779778823,2,2,22
2,0,0.0,2,0.8807970779778823,7,7,23
2,0,0.0,2,0.8807970779778823,7,7,24
2,0,0.0,2,0.8807970779778823,6,6,25
2,0,0.0,2,0.8807970779778823,6,6,26
2,0,0.0,2,0.8807970779778823,5,5,27
2,1,12.555292282745937,1,0.8807970779778823,2,3,28
2,0,0.0,2,0.8807970779778823,8,8,29
2,0,0.0,2,0.8807970779778823,6,6,30
3,0,12.510737308992331,1,0.8807970779778823,2,2,40
3,0,0.0,2,0.8807970779778823,7,7,41
3,0,12.612220384253657,1,0.8807970779778823,2,2,42
3,0,12.5138728562345,1,0.8807970779778823,2,2,43
3,1,11.891928921325373,1,0.8807970779778823,2,3,44
3,0,11.863835435704956,1,0.8807970779778823,2,2,45
3,0,0.0,2,0.8807970779778823,7,7,46
3,0,0.0,2,0.8807970779778823,6,6,47
3,0,11.501178257816612,1,0.8807970779778823,2,2,48
3,0,11.142312546199523,1,0.8807970779778823,2,2,49
3,0,0.0,2,0.8807970779778823,6,6,50
3,0,0.0,2,0.8807970779778823,6,6,51
3,-4,5.289755074052372,2,0.8807970779778823,6,2,52
4,0,9.104822815862551,0,0.8807970779778823,2,2,60
4,0,9.294102606200415,0,0.8807970779778823,2,2,61
4,0,9.473576205092497,0,0.8807970779778823,2,2,62
4,0,0.0,2,0.8807970779778823,6,6,63
4,0,0.0,2,0.8807970779778823,6,6,64
4,1,0.0,2,0.8807970779778823,6,7,65
4,0,0.0,2,0.8807970779778823,7,7,66
4,1,0.0,2,0.8807970779778823,7,8,67
4,1,0.0,2,0.8807970779778823,6,7,68
4,0,9.465418241863413,0,0.8807970779778823,2,2,69
4,0,9.575655019554972,0,0.8807970779778823,2,2,70
4,-4,2.6048330118616736,2,0.8807970779778823,6,2,71
5,0,9.903544818026633,1,0.8807970779778823,2,2,80
5,0,9.096427967575574,1,0.8807970779778823,2,2,81
5,0,11.078935332133305,1,0.8807970779778823,2,2,82
5,0,9.074258077578252,1,0.8807970779778823,2,2,83
5,0,11.217739922095056,1,0.8807970779778823,2,2,84
5,0,11.018002988008627,1,0.8807970779778823,2,2,85
5,0,9.412812209497464,1,0.8807970779778823,2,2,86
5,0,9.596668250290104,1,0.8807970779778823,2,2,87
5,1,11.722514246983081,1,0.8807970779778823,2,3,88
5,0,11.420897037858637,1,0.8807970779778823,2,2,89
5,0,10.722130801845251,1,0.8807970779778823,2,2,90
5,0,9.827366629188424,1,0.8807970779778823,2,2,91
5,0,10.438835120160366,1,0.8807970779778823,2,2,92
5,0,11.590313941253775,1,0.8807970779778823,2,2,93
5,0,7.999638549438173,1,0.8807970779778823,2,2,94
5,-2,0.0,2,0.8807970779778823,6,4,95
