diff,galaxy,opt_prt,pred_decay,prt,true_decay,true_planet,uncertainty
0,0,2,0.48463307478213735,2,0.0,0,0.20249544033411992
0,0,2,0.34934378830079393,2,0.0,1,0.1360850141267256
-1,1,3,0.2886187406002938,2,0.0,2,0.09234314023770734
-1,1,3,0.38421606921603557,2,0.0,3,0.0773361726539931
0,1,3,0.4262346969359146,3,0.0,4,0.09437601013439181
-2,2,6,0.4743198432564032,4,0.0,5,0.057421741476170275
-2,2,6,0.5373134098560901,4,0.0,6,0.060082842969651336
-2,2,7,0.5836953446909254,5,0.0,7,0.07093547773090912
0,0,2,0.6272846452409954,2,0.0,8,0.0697264475743681
0,0,2,0.6472070471011085,2,0.0,9,0.07944544561956543
0,0,2,0.5692313102485914,2,0.0,10,0.06995126124093602
0,0,2,0.6120760900604884,2,0.0,11,0.0662146082247329
0,0,2,0.5690708753232917,2,0.0,12,0.06041362472803405
-2,2,7,0.5294623447375028,5,0.0,13,0.06925235924821495
-6,2,7,0.5897740553395718,1,0.0,14,0.07141550244876771
0,0,2,0.6005007962864586,2,0.0,20,0.08057317359551441
0,0,2,0.6075354946794165,2,0.0,21,0.08782849822694379
0,0,2,0.5885593519439444,2,0.0,22,0.07840082779096083
-2,2,7,0.5511657267438322,5,0.0,23,0.07337773510788549
-2,2,8,0.5851244740893853,6,0.0,24,0.07403023483917548
-2,2,6,0.6041373277693087,4,0.0,25,0.060249978559673976
-1,2,6,0.5934618438134085,5,0.0,26,0.07736753758393079
-1,2,5,0.6075043417892451,4,0.0,27,0.07658765249507869
1,1,2,0.6819894326583317,3,0.0,28,0.06193254875326116
-1,2,7,0.579386549080112,6,0.0,29,0.07760123603125385
-1,2,6,0.6344019522786691,5,0.0,30,0.059678670464802346
0,0,2,0.6783134545475054,2,0.0,31,0.043697973759228716
0,0,2,0.6298661267261007,2,0.0,32,0.04821814497524132
1,1,2,0.6316151497342622,3,0.0,40,0.08456517671865366
-1,2,6,0.6239547273646382,5,0.0,41,0.04760797871218921
1,1,2,0.655729398680716,3,0.0,42,0.06019872872239872
1,1,2,0.597372223019124,3,0.0,43,0.05873193776268101
1,1,2,0.6301289928956202,3,0.0,44,0.07316616127211815
1,1,2,0.6197959102571504,3,0.0,45,0.04987835693864223
-1,2,7,0.640021502000145,6,0.0,46,0.07345783730714589
-1,2,6,0.6159605629898134,5,0.0,47,0.04708430642769231
1,1,2,0.6356818073369531,3,0.0,48,0.052564069235325174
1,1,2,0.662591593082644,3,0.0,49,0.051415115276986695
-1,2,6,0.6370716334006898,5,0.0,50,0.056814108611995005
-1,2,7,0.6897155997964157,6,0.0,51,0.05202530224406817
-4,2,5,0.6703539156871625,1,0.0,52,0.04913825320794813
0,0,2,0.6694051468430726,2,0.0,60,0.04572043485191398
0,0,2,0.6497672399890861,2,0.0,61,0.06494990918614285
0,0,2,0.6496084484182525,2,0.0,62,0.046137538850450605
-1,2,6,0.6707389319760476,5,0.0,63,0.06344685124773966
-1,2,6,0.6308384351484492,5,0.0,64,0.05592902695439136
0,2,6,0.6868597883071531,6,0.0,65,0.05351632622663179
-1,2,7,0.648823812929876,6,0.0,66,0.05365965048735541
0,2,7,0.6857107346146591,7,0.0,67,0.050729483716773806
0,2,6,0.6827517190513042,6,0.0,68,0.0555489726180335
0,0,2,0.682786938249889,2,0.0,69,0.04425538754419985
0,0,2,0.7252250493554989,2,0.0,70,0.05822728615263671
-1,2,5,0.690483508892414,4,0.0,71,0.0578952952185103
1,1,2,0.6699018977464681,3,0.0,80,0.06411236389885454
1,1,2,0.6791530145722962,3,0.0,81,0.05285869207091364
1,1,2,0.6696253201845039,3,0.0,82,0.04315530104667825
1,1,2,0.7148903042930103,3,0.0,83,0.04385903820634759
1,1,2,0.660979076725456,3,0.0,84,0.04919805120663434
1,1,2,0.650507092977842,3,0.0,85,0.056081174895841
0,1,2,0.6731976176086915,2,0.0,86,0.05290203841188671
1,1,2,0.6853631804396619,3,0.0,87,0.05704257895718376
0,1,3,0.6687198101640397,3,0.0,88,0.036456432739561825
1,1,2,0.6768455734870522,3,0.0,89,0.05357711457217961
1,1,2,0.6434290480863122,3,0.0,90,0.05845142179287547
0,1,2,0.647991188416762,2,0.0,91,0.034145490238710996
1,1,2,0.6415456824523956,3,0.0,92,0.04544879987041344
1,1,2,0.6329660878146143,3,0.0,93,0.04416629418933035
